Smed_Code	Gene stable ID	Gene description	Transcript stable ID	Protein stable ID	Gene name	HGNC symbol	UniProtKB/Swiss-Prot ID
SmedASXL_016226	SmedASXL_018018	ENSP00000364887	ENSG00000187240	ENST00000375735	dynein cytoplasmic 2 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2962]	DYNC2H1	DYNC2H1
SmedASXL_018407	ENSG00000084774	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:HGNC Symbol;Acc:HGNC:1424]	ENST00000264705	ENSP00000264705	CAD	CAD	P27708
SmedASXL_007702	ENSG00000112249	activating signal cointegrator 1 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:18697]	ENST00000369162	ENSP00000358159	ASCC3	ASCC3	Q8N3C0
SmedASXL_017013	ENSG00000115306	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	ENST00000356805	ENSP00000349259	SPTBN1	SPTBN1	Q01082
SmedASXL_006325	ENSG00000181222	RNA polymerase II subunit A [Source:HGNC Symbol;Acc:HGNC:9187]	ENST00000572844	ENSP00000461879	POLR2A	POLR2A	P24928
SmedASXL_018373	ENSG00000138002	intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]	ENST00000260570	ENSP00000260570	IFT172	IFT172	Q9UG01
SmedASXL_018261	ENSG00000157388	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	ENST00000637424	ENSP00000489769	CACNA1D	CACNA1D	
SmedASXL_018458	ENSG00000157423	HYDIN, axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:HGNC:19368]	ENST00000393567	ENSP00000377197	HYDIN	HYDIN	Q4G0P3
SmedASXL_017477	ENSG00000135636	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	ENST00000409762	ENSP00000387137	DYSF	DYSF	O75923
SmedASXL_017031	ENSG00000197616	myosin heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:7576]	ENST00000356287	ENSP00000348634	MYH6	MYH6	P13533
SmedASXL_018217	ENSG00000141837	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	ENST00000360228	ENSP00000353362	CACNA1A	CACNA1A	O00555
SmedASXL_017275	ENSG00000021826	carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]	ENST00000417946	ENSP00000388496	CPS1	CPS1	
SmedASXL_018099	ENSG00000066777	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	ENST00000520381	ENSP00000428429	ARFGEF1	ARFGEF1	
SmedASXL_016162	ENSG00000189091	splicing factor 3b subunit 3 [Source:HGNC Symbol;Acc:HGNC:10770]	ENST00000302516	ENSP00000305790	SF3B3	SF3B3	Q15393
SmedASXL_019327	ENSG00000047315	RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]	ENST00000450656	ENSP00000408638	POLR2B	POLR2B	
SmedASXL_015812	ENSG00000115524	splicing factor 3b subunit 1 [Source:HGNC Symbol;Acc:HGNC:10768]	ENST00000335508	ENSP00000335321	SF3B1	SF3B1	O75533
SmedASXL_014620	ENSG00000116984	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468]	ENST00000366577	ENSP00000355536	MTR	MTR	Q99707
SmedASXL_018545	ENSG00000198626	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	ENST00000366574	ENSP00000355533	RYR2	RYR2	Q92736
SmedASXL_014791	ENSG00000100345	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	ENST00000216181	ENSP00000216181	MYH9	MYH9	P35579
SmedASXL_014682	ENSG00000100345	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	ENST00000216181	ENSP00000216181	MYH9	MYH9	P35579
SmedASXL_011290	ENSG00000102452	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]	ENST00000251127	ENSP00000251127	NALCN	NALCN	Q8IZF0
SmedASXL_017119	ENSG00000008869	HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]	ENST00000425467	ENSP00000408222	HEATR5B	HEATR5B	
SmedASXL_018420	ENSG00000214595	echinoderm microtubule associated protein like 6 [Source:HGNC Symbol;Acc:HGNC:35412]	ENST00000356458	ENSP00000348842	EML6	EML6	Q6ZMW3
SmedASXL_015138	ENSG00000111642	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	ENST00000544484	ENSP00000440392	CHD4	CHD4	
SmedASXL_017087	ENSG00000178814	5-oxoprolinase, ATP-hydrolysing [Source:HGNC Symbol;Acc:HGNC:8149]	ENST00000618853	ENSP00000480476	OPLAH	OPLAH	O14841
SmedASXL_017385	ENSG00000198722	unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]	ENST00000396787	ENSP00000380006	UNC13B	UNC13B	
SmedASXL_015224	ENSG00000145362	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]	ENST00000503271	ENSP00000423799	ANK2	ANK2	
SmedASXL_017797	ENSG00000196924	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	ENST00000420627	ENSP00000408921	FLNA	FLNA	
SmedASXL_010548	ENSG00000082898	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	ENST00000401558	ENSP00000384863	XPO1	XPO1	O14980
SmedASXL_007942	ENSG00000173599	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	ENST00000529047	ENSP00000435905	PC	PC	
SmedASXL_018526	ENSG00000128731	HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]	ENST00000261609	ENSP00000261609	HERC2	HERC2	O95714
SmedASXL_017436	ENSG00000241973	phosphatidylinositol 4-kinase alpha [Source:HGNC Symbol;Acc:HGNC:8983]	ENST00000255882	ENSP00000255882	PI4KA	PI4KA	P42356
SmedASXL_002591	ENSG00000105409	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	ENST00000441343	ENSP00000411503	ATP1A3	ATP1A3	
SmedASXL_016140	ENSG00000122218	coatomer protein complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:2230]	ENST00000368069	ENSP00000357048	COPA	COPA	P53621
SmedASXL_016970	ENSG00000157796	WD repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:18340]	ENST00000399820	ENSP00000382717	WDR19	WDR19	Q8NEZ3
SmedASXL_010806	ENSG00000138246	DnaJ heat shock protein family (Hsp40) member C13 [Source:HGNC Symbol;Acc:HGNC:30343]	ENST00000260818	ENSP00000260818	DNAJC13	DNAJC13	O75165
SmedASXL_004428	ENSG00000151240	disco interacting protein 2 homolog C [Source:HGNC Symbol;Acc:HGNC:29150]	ENST00000280886	ENSP00000280886	DIP2C	DIP2C	Q9Y2E4
SmedASXL_012866	ENSG00000005007	UPF1, RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]	ENST00000262803	ENSP00000262803	UPF1	UPF1	Q92900
SmedASXL_017897	ENSG00000174437	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	ENST00000552636	ENSP00000447406	ATP2A2	ATP2A2	
SmedASXL_017781	ENSG00000127616	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]	ENST00000344626	ENSP00000343896	SMARCA4	SMARCA4	P51532
SmedASXL_013017	ENSG00000153147	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:HGNC Symbol;Acc:HGNC:11101]	ENST00000283131	ENSP00000283131	SMARCA5	SMARCA5	O60264
SmedASXL_017946	ENSG00000197969	vacuolar protein sorting 13 homolog A [Source:HGNC Symbol;Acc:HGNC:1908]	ENST00000376634	ENSP00000365821	VPS13A	VPS13A	Q96RL7
SmedASXL_008429	ENSG00000131473	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]	ENST00000352035	ENSP00000253792	ACLY	ACLY	P53396
SmedASXL_017883	ENSG00000102763	von Willebrand factor A domain containing 8 [Source:HGNC Symbol;Acc:HGNC:29071]	ENST00000379310	ENSP00000368612	VWA8	VWA8	A3KMH1
SmedASXL_017863	ENSG00000077097	DNA topoisomerase II beta [Source:HGNC Symbol;Acc:HGNC:11990]	ENST00000413971	ENSP00000388216	TOP2B	TOP2B	
SmedASXL_016400	ENSG00000163913	intraflagellar transport 122 [Source:HGNC Symbol;Acc:HGNC:13556]	ENST00000347300	ENSP00000323973	IFT122	IFT122	Q9HBG6
SmedASXL_018539	ENSG00000083857	FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:HGNC:3595]	ENST00000441802	ENSP00000406229	FAT1	FAT1	Q14517
SmedASXL_012981	ENSG00000112992	nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]	ENST00000505678	ENSP00000427670	NNT	NNT	
SmedASXL_009997	ENSG00000123908	argonaute 2, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:3263]	ENST00000220592	ENSP00000220592	AGO2	AGO2	Q9UKV8
SmedASXL_006532	ENSG00000101333	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	ENST00000407043	ENSP00000385805	PLCB4	PLCB4	
SmedASXL_013216	ENSG00000173273	tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]	ENST00000520408	ENSP00000428299	TNKS	TNKS	
SmedASXL_015487	ENSG00000067596	DEAH-box helicase 8 [Source:HGNC Symbol;Acc:HGNC:2749]	ENST00000592258	ENSP00000467834	DHX8	DHX8	
SmedASXL_018765	ENSG00000165280	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	ENST00000358901	ENSP00000351777	VCP	VCP	P55072
SmedASXL_016248	ENSG00000058453	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	ENST00000375541	ENSP00000364691	CROCC	CROCC	Q5TZA2
SmedASXL_016221	ENSG00000162688	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	ENST00000361915	ENSP00000355106	AGL	AGL	P35573
SmedASXL_012714	ENSG00000055163	cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]	ENST00000616178	ENSP00000479719	CYFIP2	CYFIP2	Q96F07
SmedASXL_017618	ENSG00000148400	notch 1 [Source:HGNC Symbol;Acc:HGNC:7881]	ENST00000277541	ENSP00000277541	NOTCH1	NOTCH1	P46531
SmedASXL_018393	ENSG00000167210	lipoxygenase homology domains 1 [Source:HGNC Symbol;Acc:HGNC:26521]	ENST00000300591	ENSP00000300591	LOXHD1	LOXHD1	Q8IVV2
SmedASXL_017040	ENSG00000021776	aquarius intron-binding spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:29513]	ENST00000156471	ENSP00000156471	AQR	AQR	O60306
SmedASXL_017219	ENSG00000172869	Dmx like 1 [Source:HGNC Symbol;Acc:HGNC:2937]	ENST00000503802	ENSP00000427692	DMXL1	DMXL1	
SmedASXL_017595	ENSG00000178921	phosphoribosylformylglycinamidine synthase [Source:HGNC Symbol;Acc:HGNC:8863]	ENST00000585183	ENSP00000463362	PFAS	PFAS	
SmedASXL_017704	ENSG00000133706	leucyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:6512]	ENST00000394434	ENSP00000377954	LARS	LARS	Q9P2J5
SmedASXL_014021	ENSG00000198707	centrosomal protein 290 [Source:HGNC Symbol;Acc:HGNC:29021]	ENST00000547691	ENSP00000446905	CEP290	CEP290	O15078
SmedASXL_008645	ENSG00000100280	adaptor related protein complex 1 beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:554]	ENST00000405198	ENSP00000384194	AP1B1	AP1B1	Q10567
SmedASXL_008960	ENSG00000197444	oxoglutarate dehydrogenase like [Source:HGNC Symbol;Acc:HGNC:25590]	ENST00000374103	ENSP00000363216	OGDHL	OGDHL	Q9ULD0
SmedASXL_007886	ENSG00000109606	DEAH-box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738]	ENST00000336812	ENSP00000336741	DHX15	DHX15	O43143
SmedASXL_017047	ENSG00000062822	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	ENST00000600859	ENSP00000470726	POLD1	POLD1	
SmedASXL_011609	ENSG00000067842	ATPase plasma membrane Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:816]	ENST00000349466	ENSP00000343886	ATP2B3	ATP2B3	Q16720
SmedASXL_019548	ENSG00000083312	transportin 1 [Source:HGNC Symbol;Acc:HGNC:6401]	ENST00000337273	ENSP00000336712	TNPO1	TNPO1	Q92973
SmedASXL_009346	ENSG00000172915	neurobeachin [Source:HGNC Symbol;Acc:HGNC:7648]	ENST00000379939	ENSP00000369271	NBEA	NBEA	
SmedASXL_016366	ENSG00000132361	clustered mitochondria homolog [Source:HGNC Symbol;Acc:HGNC:29094]	ENST00000570628	ENSP00000458986	CLUH	CLUH	O75153
SmedASXL_017808	ENSG00000171316	chromodomain helicase DNA binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20626]	ENST00000423902	ENSP00000392028	CHD7	CHD7	Q9P2D1
SmedASXL_015297	ENSG00000166377	ATPase phospholipid transporting 9B (putative) [Source:HGNC Symbol;Acc:HGNC:13541]	ENST00000588600	ENSP00000465158	ATP9B	ATP9B	
SmedASXL_016483	ENSG00000061987	MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:HGNC Symbol;Acc:HGNC:29177]	ENST00000641654	ENSP00000493462	MON2	MON2	
SmedASXL_018188	ENSG00000163618	calcium dependent secretion activator [Source:HGNC Symbol;Acc:HGNC:1426]	ENST00000383710	ENSP00000373215	CADPS	CADPS	Q9ULU8
SmedASXL_009727	ENSG00000163527	STT3B, catalytic subunit of the oligosaccharyltransferase complex [Source:HGNC Symbol;Acc:HGNC:30611]	ENST00000295770	ENSP00000295770	STT3B	STT3B	Q8TCJ2
SmedASXL_011529	ENSG00000134910	STT3A, catalytic subunit of the oligosaccharyltransferase complex [Source:HGNC Symbol;Acc:HGNC:6172]	ENST00000527606	ENSP00000436558	STT3A	STT3A	
SmedASXL_018191	ENSG00000135829	DExH-box helicase 9 [Source:HGNC Symbol;Acc:HGNC:2750]	ENST00000367549	ENSP00000356520	DHX9	DHX9	Q08211
SmedASXL_019475	ENSG00000105726	ATPase 13A1 [Source:HGNC Symbol;Acc:HGNC:24215]	ENST00000291503	ENSP00000291503	ATP13A1	ATP13A1	Q9HD20
SmedASXL_015648	ENSG00000164961	WASH complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:28984]	ENST00000318410	ENSP00000318016	WASHC5	WASHC5	Q12768
SmedASXL_014518	ENSG00000167658	eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]	ENST00000600794	ENSP00000471265	EEF2	EEF2	
SmedASXL_007932	ENSG00000108055	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	ENST00000361804	ENSP00000354720	SMC3	SMC3	Q9UQE7
SmedASXL_015922	ENSG00000136010	aldehyde dehydrogenase 1 family member L2 [Source:HGNC Symbol;Acc:HGNC:26777]	ENST00000258494	ENSP00000258494	ALDH1L2	ALDH1L2	Q3SY69
SmedASXL_014715	ENSG00000129083	coatomer protein complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]	ENST00000249923	ENSP00000249923	COPB1	COPB1	P53618
SmedASXL_006565	ENSG00000100412	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	ENST00000216254	ENSP00000216254	ACO2	ACO2	Q99798
SmedASXL_017672	ENSG00000116641	dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]	ENST00000251157	ENSP00000251157	DOCK7	DOCK7	Q96N67
SmedASXL_014472	ENSG00000178445	glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]	ENST00000321612	ENSP00000370737	GLDC	GLDC	P23378
SmedASXL_017240	ENSG00000136731	UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]	ENST00000430075	ENSP00000400426	UGGT1	UGGT1	
SmedASXL_018823	ENSG00000068976	glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]	ENST00000377432	ENSP00000366650	PYGM	PYGM	P11217
SmedASXL_014892	ENSG00000100714	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]	ENST00000545908	ENSP00000438588	MTHFD1	MTHFD1	
SmedASXL_017651	ENSG00000169432	sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]	ENST00000409672	ENSP00000386306	SCN9A	SCN9A	Q15858
SmedASXL_015474	ENSG00000130985	ubiquitin like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]	ENST00000377351	ENSP00000366568	UBA1	UBA1	P22314
SmedASXL_012235	ENSG00000039123	Ski2 like RNA helicase 2 [Source:HGNC Symbol;Acc:HGNC:18734]	ENST00000230640	ENSP00000230640	SKIV2L2	SKIV2L2	P42285
SmedASXL_016738	ENSG00000100346	calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396]	ENST00000407673	ENSP00000385680	CACNA1I	CACNA1I	Q9P0X4
SmedASXL_017226	ENSG00000108883	elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]	ENST00000426333	ENSP00000392094	EFTUD2	EFTUD2	Q15029
SmedASXL_002061	ENSG00000188641	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	ENST00000370192	ENSP00000359211	DPYD	DPYD	Q12882
SmedASXL_016905	ENSG00000173575	chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1917]	ENST00000626874	ENSP00000486629	CHD2	CHD2	O14647
SmedASXL_017627	ENSG00000123607	tetratricopeptide repeat domain 21B [Source:HGNC Symbol;Acc:HGNC:25660]	ENST00000392695	ENSP00000376460	TTC21B	TTC21B	
SmedASXL_018104	ENSG00000089154	GCN1, eIF2 alpha kinase activator homolog [Source:HGNC Symbol;Acc:HGNC:4199]	ENST00000300648	ENSP00000300648	GCN1	GCN1	Q92616
SmedASXL_013446	ENSG00000145725	diphosphoinositol pentakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:29035]	ENST00000515845	ENSP00000421513	PPIP5K2	PPIP5K2	
SmedASXL_017659	ENSG00000080603	Snf2 related CREBBP activator protein [Source:HGNC Symbol;Acc:HGNC:16974]	ENST00000411466	ENSP00000405186	SRCAP	SRCAP	
SmedASXL_016654	ENSG00000107147	potassium sodium-activated channel subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:18865]	ENST00000487664	ENSP00000417851	KCNT1	KCNT1	Q5JUK3
SmedASXL_017316	ENSG00000197535	myosin VA [Source:HGNC Symbol;Acc:HGNC:7602]	ENST00000399231	ENSP00000382177	MYO5A	MYO5A	Q9Y4I1
SmedASXL_017268	ENSG00000106976	dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]	ENST00000372923	ENSP00000362014	DNM1	DNM1	Q05193
SmedASXL_012448	ENSG00000167325	ribonucleotide reductase catalytic subunit M1 [Source:HGNC Symbol;Acc:HGNC:10451]	ENST00000532170	ENSP00000435656	RRM1	RRM1	
SmedASXL_002869	ENSG00000184432	coatomer protein complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]	ENST00000503326	ENSP00000426682	COPB2	COPB2	
SmedASXL_013117	ENSG00000169126	armadillo repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:25583]	ENST00000305242	ENSP00000306410	ARMC4	ARMC4	Q5T2S8
SmedASXL_012526	ENSG00000140829	DEAH-box helicase 38 [Source:HGNC Symbol;Acc:HGNC:17211]	ENST00000268482	ENSP00000268482	DHX38	DHX38	Q92620
SmedASXL_006526	ENSG00000067177	phosphorylase kinase regulatory subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8925]	ENST00000373542	ENSP00000362643	PHKA1	PHKA1	P46020
SmedASXL_015461	ENSG00000198730	CTR9 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:16850]	ENST00000361367	ENSP00000355013	CTR9	CTR9	Q6PD62
SmedASXL_013479	ENSG00000156113	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	ENST00000604624	ENSP00000473714	KCNMA1	KCNMA1	
SmedASXL_002146	ENSG00000146085	methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526]	ENST00000274813	ENSP00000274813	MUT	MUT	P22033
SmedASXL_015683	ENSG00000107862	golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4181]	ENST00000369983	ENSP00000359000	GBF1	GBF1	Q92538
SmedASXL_014562	ENSG00000196305	isoleucyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:5330]	ENST00000375643	ENSP00000364794	IARS	IARS	P41252
SmedASXL_019650	ENSG00000124201	zinc finger NFX1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29271]	ENST00000371754	ENSP00000360819	ZNFX1	ZNFX1	
SmedASXL_018402	ENSG00000196367	transformation/transcription domain associated protein [Source:HGNC Symbol;Acc:HGNC:12347]	ENST00000417523	ENSP00000401107	TRRAP	TRRAP	
SmedASXL_004726	ENSG00000171914	talin 2 [Source:HGNC Symbol;Acc:HGNC:15447]	ENST00000561311	ENSP00000453508	TLN2	TLN2	Q9Y4G6
SmedASXL_014863	ENSG00000101161	pre-mRNA processing factor 6 [Source:HGNC Symbol;Acc:HGNC:15860]	ENST00000266079	ENSP00000266079	PRPF6	PRPF6	O94906
SmedASXL_019109	ENSG00000173692	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]	ENST00000308696	ENSP00000309474	PSMD1	PSMD1	Q99460
SmedASXL_012756	ENSG00000109971	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	ENST00000532636	ENSP00000437125	HSPA8	HSPA8	P11142
SmedASXL_009012	ENSG00000120051	cilia and flagella associated protein 58 [Source:HGNC Symbol;Acc:HGNC:26676]	ENST00000369704	ENSP00000358718	CFAP58	CFAP58	Q5T655
SmedASXL_017306	ENSG00000109111	SPT6 homolog, histone chaperone [Source:HGNC Symbol;Acc:HGNC:11470]	ENST00000314616	ENSP00000319104	SUPT6H	SUPT6H	Q7KZ85
SmedASXL_011641	ENSG00000123453	sarcosine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:10536]	ENST00000371872	ENSP00000360938	SARDH	SARDH	Q9UL12
SmedASXL_006481	ENSG00000162591	multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]	ENST00000294599	ENSP00000294599	MEGF6	MEGF6	O75095
SmedASXL_010936	ENSG00000013364	major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]	ENST00000563915	ENSP00000455819	MVP	MVP	
SmedASXL_004037	ENSG00000141458	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	ENST00000591107	ENSP00000468438	NPC1	NPC1	
SmedASXL_015411	ENSG00000100393	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	ENST00000263253	ENSP00000263253	EP300	EP300	Q09472
SmedASXL_018511	ENSG00000103335	piezo type mechanosensitive ion channel component 1 [Source:HGNC Symbol;Acc:HGNC:28993]	ENST00000518793	ENSP00000456680	PIEZO1	PIEZO1	
SmedASXL_012681	ENSG00000130402	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	ENST00000252699	ENSP00000252699	ACTN4	ACTN4	O43707
SmedASXL_018312	ENSG00000144426	neurobeachin like 1 [Source:HGNC Symbol;Acc:HGNC:20681]	ENST00000449802	ENSP00000399903	NBEAL1	NBEAL1	Q6ZS30
SmedASXL_012438	ENSG00000107611	cubilin [Source:HGNC Symbol;Acc:HGNC:2548]	ENST00000377833	ENSP00000367064	CUBN	CUBN	O60494
SmedASXL_017003	ENSG00000124067	solute carrier family 12 member 4 [Source:HGNC Symbol;Acc:HGNC:10913]	ENST00000316341	ENSP00000318557	SLC12A4	SLC12A4	Q9UP95
SmedASXL_014198	ENSG00000073111	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	ENST00000265056	ENSP00000265056	MCM2	MCM2	P49736
SmedASXL_015013	ENSG00000115677	high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]	ENST00000391975	ENSP00000375836	HDLBP	HDLBP	
SmedASXL_009504	ENSG00000155657	titin [Source:HGNC Symbol;Acc:HGNC:12403]	ENST00000342992	ENSP00000343764	TTN	TTN	Q8WZ42
SmedASXL_017441	ENSG00000148606	RNA polymerase III subunit A [Source:HGNC Symbol;Acc:HGNC:30074]	ENST00000372371	ENSP00000361446	POLR3A	POLR3A	O14802
